method,alpha_true,parameters,alpha_rec,r2,accepted,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,profile,seed,device,train_source_ids,validation_source_ids,test_source_ids,execution_device
mlp,0.08,1153,0.001428414035509889,0.004934118389847105,False,checkpoints/synthetic_baseline_mlp_alpha0.08_seed0.pt,dea7b0addb817c0125a587e41333d93a5efd49802efb22bd43de8a46f0bedc35,f8bc15da90d2724a7c4e94f786c2954c71c8aca35ed06ff940218213b247dbcd,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 32, 32, 1], ""parameters"": 1153}",1153,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
pikan,0.08,64,0.0014276261803674308,0.004934118389847401,False,checkpoints/synthetic_baseline_pikan_alpha0.08_seed0.pt,942b294329e83b6f043b87d1528937a9085ca62145942ce3e46dd2df13b62ad6,d79d73207f1114888e120066a5f5da79b26af5327188c632f227b5a23dcbb99f,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [1, 8, 1], ""class"": ""PIKAN"", ""parameters"": 64}",64,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
sindy,0.08,4,0.001428414344053749,0.004934118389847327,False,checkpoints/synthetic_baseline_sindy_alpha0.08_seed0.pt,644b46687844dce6749bc339dbeb708b45413670b518b65ee8dbd767ea92a144,644b46687844dce6749bc339dbeb708b45413670b518b65ee8dbd767ea92a144,serialized_payload,,,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
vanilla_lstm,0.08,361,0.09295775427476287,0.9314854004382577,True,checkpoints/synthetic_baseline_vanilla_lstm_alpha0.08_seed0.pt,142272b843423db4f343555280e2951ec7f26fa4c7d6cbe78e273a8f911cc653,b7200b4a95af7cb2d6738818ccfe168f7866801d56c21aebb3853b8b3d3a0171,VanillaLSTM,"{""class"": ""VanillaLSTM"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""parameters"": 361}",361,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
mlp,0.08,1153,0.0014284154850164605,0.004934118389847327,False,checkpoints/synthetic_baseline_mlp_alpha0.08_seed1.pt,b8162a5cd098773a2c2d4a5c2f44e2b78198c97dbfba3064b84f91973a765186,922b7b11009a77d8c13ad45aaf21b87053ce66f8e6b2dfdd4aa000641ae3b17c,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 32, 32, 1], ""parameters"": 1153}",1153,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
pikan,0.08,64,0.0014284136489748007,0.004934118389847586,False,checkpoints/synthetic_baseline_pikan_alpha0.08_seed1.pt,3930faadf082b641fccadcb4507d25c8056e9fecbeb626ce6bd8a4d6221d9bfd,deafc3124b1130616d9004f1ec446316047ac613c59ca8207a12573f40326f33,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [1, 8, 1], ""class"": ""PIKAN"", ""parameters"": 64}",64,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
sindy,0.08,4,0.001428414344053749,0.004934118389847327,False,checkpoints/synthetic_baseline_sindy_alpha0.08_seed1.pt,e67f60b02dd18aeea8d88d746f5fd220217c41d6406ef7e335a13458660ff375,e67f60b02dd18aeea8d88d746f5fd220217c41d6406ef7e335a13458660ff375,serialized_payload,,,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
vanilla_lstm,0.08,361,0.08479680781397954,0.906877417916686,True,checkpoints/synthetic_baseline_vanilla_lstm_alpha0.08_seed1.pt,ea4869e57505a182bb1a98a1c109e893f4e6c4b1165076b5ed7020f52f04fe1e,d59f67f5d88fc895c1112ce95554c8ba2ab065504c0c1d13ff0d0a74f9eb1525,VanillaLSTM,"{""class"": ""VanillaLSTM"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""parameters"": 361}",361,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
mlp,0.08,1153,0.001428414518678741,0.004934118389847142,False,checkpoints/synthetic_baseline_mlp_alpha0.08_seed2.pt,f65351a17bb773d506660a62eafed0032734e9e6a7ca835179143e877c8d62c5,c8c4e7b7f15ca4b9a693d7f4051ee8d3ba34ab96b288e9b98e3ee0ee9e23a533,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 32, 32, 1], ""parameters"": 1153}",1153,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
pikan,0.08,64,0.0014284147119462884,0.004934118389847475,False,checkpoints/synthetic_baseline_pikan_alpha0.08_seed2.pt,b60adb22f0c21c07ae96538b67b9b73073411937f7c35fdd55aeed7a8d2a3d7a,2be0d33481a8ca81e6e5add7a722e265dbea6fadcbf4bf30d0381cfc2661a10f,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [1, 8, 1], ""class"": ""PIKAN"", ""parameters"": 64}",64,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
sindy,0.08,4,0.001428414344053749,0.004934118389847327,False,checkpoints/synthetic_baseline_sindy_alpha0.08_seed2.pt,5fd52e506137293aee4ae6b775ac05240935caf34020b80404b6f2b5d7d451e7,5fd52e506137293aee4ae6b775ac05240935caf34020b80404b6f2b5d7d451e7,serialized_payload,,,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
vanilla_lstm,0.08,361,0.08667227120485017,0.9574888330960909,True,checkpoints/synthetic_baseline_vanilla_lstm_alpha0.08_seed2.pt,c32f13f0dc7878c516c87e398f68b6b71759ce2c5162e1052bf6335673d770c1,2032ffc78e2f78941d19decbfa2376a03c359341e3b35f8efeed758520c5704a,VanillaLSTM,"{""class"": ""VanillaLSTM"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""parameters"": 361}",361,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
mlp,0.1,1153,0.0017855188247848644,0.004934118389847364,False,checkpoints/synthetic_baseline_mlp_alpha0.1_seed0.pt,2ada7d13a5b996008fa58d21a9cd4c62b00961c530bd1ff917564169e4e6952f,13cf741f4db49c893bace663d7a1077b455c27e0636b7adcc86f1438a8024b1a,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 32, 32, 1], ""parameters"": 1153}",1153,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
pikan,0.1,64,0.0017616765675064125,0.004934118389847031,False,checkpoints/synthetic_baseline_pikan_alpha0.1_seed0.pt,30c76d80e8a987f77650278eb15319202bef43ba18dde82ec486e269f64c5fd7,2a5e37868f6eae590f3ca582d19290aaebbd2eb1141ce71f63b4e3c8928850da,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [1, 8, 1], ""class"": ""PIKAN"", ""parameters"": 64}",64,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
sindy,0.1,4,0.001785517926766832,0.004934118389847179,False,checkpoints/synthetic_baseline_sindy_alpha0.1_seed0.pt,04f5d4b54d8da0a9fa8995d9725f75b4b71686afed514752e9938f5ad91c4e8f,04f5d4b54d8da0a9fa8995d9725f75b4b71686afed514752e9938f5ad91c4e8f,serialized_payload,,,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
vanilla_lstm,0.1,361,0.1106944463147612,0.9643131560970993,True,checkpoints/synthetic_baseline_vanilla_lstm_alpha0.1_seed0.pt,ad6177229a452d0abd14c6d5ba6eb996be19a65e0df9198fb284f57458e777ac,2f00810698315c946f90da40d7e3edd2c9c4c7e16fbcfa33f9d0e47380f6b2ba,VanillaLSTM,"{""class"": ""VanillaLSTM"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""parameters"": 361}",361,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
mlp,0.1,1153,0.0017855153459690656,0.00493411838984729,False,checkpoints/synthetic_baseline_mlp_alpha0.1_seed1.pt,ffc83d71d8da2825ff099cf752e4b790355609ad164883a218aafc52ca59ffa5,1c91abf8017de4d025997e23d558f80d910fbb7886be04bd627fd9454317567b,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 32, 32, 1], ""parameters"": 1153}",1153,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
pikan,0.1,64,0.001785519018052382,0.00493411838984729,False,checkpoints/synthetic_baseline_pikan_alpha0.1_seed1.pt,b00a460dfedca3fdc651280182065ef1142d9860cdbb8067d6d64a2f7dc4634a,0f05fee79c53fc43159f19f7b5b6b743e7b7968b846afd904952d16da3607a3d,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [1, 8, 1], ""class"": ""PIKAN"", ""parameters"": 64}",64,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
sindy,0.1,4,0.001785517926766832,0.004934118389847179,False,checkpoints/synthetic_baseline_sindy_alpha0.1_seed1.pt,a4262905b9780ba0b67e976c5813febc211dbf8651df9f9d364328400ece4976,a4262905b9780ba0b67e976c5813febc211dbf8651df9f9d364328400ece4976,serialized_payload,,,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
vanilla_lstm,0.1,361,0.10075393232716749,0.881807779341424,True,checkpoints/synthetic_baseline_vanilla_lstm_alpha0.1_seed1.pt,f11f4242ab809c6b4737c105bcc90294e0262d8b9fd7f2a6cfeac483c65e5056,c858af79f2b9c945f604f6fd43282c686e53d28ab3fd8bdce55f7fd0f41a5185,VanillaLSTM,"{""class"": ""VanillaLSTM"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""parameters"": 361}",361,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
mlp,0.1,1153,0.0017855186315172955,0.004934118389847327,False,checkpoints/synthetic_baseline_mlp_alpha0.1_seed2.pt,cac54696f5abd9e1dc23e74c42d6a7eec4818ea80e38254e10569081618f87d4,8459e5ee42805c99e5479a18a8243e04b5ac33f02997d1730ac024bee45e5127,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 32, 32, 1], ""parameters"": 1153}",1153,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
pikan,0.1,64,0.0017855180517146914,0.004934118389847401,False,checkpoints/synthetic_baseline_pikan_alpha0.1_seed2.pt,f0c59ac6c021370c922aa19f79b6c8ebd43429b327ebcbe70875c07013448548,ec406e9811d0501fe3f5266cb1017ac3226d643f7867244e4a2a7aed20510e3d,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [1, 8, 1], ""class"": ""PIKAN"", ""parameters"": 64}",64,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
